group,names,scores,logfoldchanges,pvals,pvals_adj
1,Tsc22d1,137.13069,3.6547444,0.0,0.0
1,Col5a1,136.79247,3.7859674,0.0,0.0
1,Gpx3,136.73401,3.9642603,0.0,0.0
1,Mxra8,136.73152,4.2080293,0.0,0.0
1,Nme2,136.4391,2.9313414,0.0,0.0
1,Aspn,136.25949,4.3137984,0.0,0.0
1,Gpx7,136.22643,4.142655,0.0,0.0
1,Serf2,135.97302,2.0756712,0.0,0.0
1,Nedd4,135.93153,3.469908,0.0,0.0
1,Col6a3,135.88712,3.8611667,0.0,0.0
1,Maged1,135.63234,4.039127,0.0,0.0
2,G0s2,146.5503,6.2064834,0.0,0.0
2,Fth1,141.6542,2.873398,0.0,0.0
2,Cxcl2,139.60786,5.182177,0.0,0.0
2,Nos2,137.65553,5.0321245,0.0,0.0
2,Il1b,131.9161,4.8553247,0.0,0.0
2,Hcar2,131.66608,5.18032,0.0,0.0
2,Srgn,130.45222,3.6076233,0.0,0.0
2,Cebpb,124.92412,3.1069949,0.0,0.0
2,Fcer1g,124.10791,3.1679406,0.0,0.0
2,Sod2,123.62078,2.8565695,0.0,0.0
2,Plin2,115.837265,3.7239516,0.0,0.0
2,Ccl3,112.16831,4.935485,0.0,0.0
2,Il1rn,112.10964,4.6213713,0.0,0.0
2,B2m,108.73639,1.3988703,0.0,0.0
2,Nfkbia,105.64882,2.1569254,0.0,0.0
2,Il1r2,103.51979,4.372245,0.0,0.0
2,Lilrb4,101.59965,3.3329952,0.0,0.0
2,Slpi,101.33724,4.195744,0.0,0.0
2,Bcl2a1,101.3124,3.2471066,0.0,0.0
2,Slfn4,100.5572,3.8422592,0.0,0.0
2,H3f3a,93.325134,1.2378625,0.0,0.0
2,Tax1bp1,91.892,2.5318668,0.0,0.0
2,Plaur,91.66517,2.6012936,0.0,0.0
2,Slfn2,90.57954,2.8531444,0.0,0.0
2,Plek,89.84029,2.9870272,0.0,0.0
2,Arrdc3,89.66608,3.1810906,0.0,0.0
2,Ccl6,85.61998,3.7304068,0.0,0.0
2,Tyrobp,85.46078,2.2692423,0.0,0.0
2,Ifit3,82.943214,4.7541904,0.0,0.0
2,Fcgr2a-ps1,82.6198,2.4499822,0.0,0.0
2,Lrg1,77.369965,3.0595613,0.0,0.0
2,Clec7a,75.184494,3.2198083,0.0,0.0
2,Crem,74.72331,2.2851343,0.0,0.0
2,Sdcbp,73.60072,1.7533658,0.0,0.0
2,Mcl1,73.13763,1.9120361,0.0,0.0
2,Scimp,72.83215,3.4008605,0.0,0.0
2,Clec4e,71.14219,3.9278815,0.0,0.0
2,Ftl1,70.764,1.2675428,0.0,0.0
2,Cd274,70.279495,4.5687304,0.0,0.0
2,Eif1,69.78611,0.79533273,0.0,0.0
